Age Range,Covid Vacc Date,BlackCum,BlackCount,Black total,MixedCum,MixedCount,Mixed total,OtherCum,OtherCount,Other total,SouthAsianCum,SouthAsianCount,South Asian total,UnknownCum,UnknownCount,Unknown total,WhiteCum,WhiteCount,White total
65-69,2020-12-31,84,7,10822,56,7,4956,84,14,11942,553,77,43561,476,84,96992,4844,637,904638
65-69,2021-01-01,91,7,10822,56,0,4956,84,0,11942,567,14,43561,497,21,96992,4991,147,904638
65-69,2021-01-02,98,7,10822,56,0,4956,91,7,11942,581,14,43561,511,14,96992,5131,140,904638
65-69,2021-01-03,98,0,10822,56,0,4956,91,0,11942,588,7,43561,518,7,96992,5236,105,904638
65-69,2021-01-04,98,0,10822,63,7,4956,98,7,11942,602,14,43561,539,21,96992,5481,245,904638
65-69,2021-01-05,105,7,10822,70,7,4956,105,7,11942,630,28,43561,581,42,96992,5922,441,904638
65-69,2021-01-06,119,14,10822,77,7,4956,119,14,11942,679,49,43561,658,77,96992,6601,679,904638
65-69,2021-01-07,133,14,10822,84,7,4956,133,14,11942,833,154,43561,777,119,96992,7672,1071,904638
65-69,2021-01-08,154,21,10822,91,7,4956,161,28,11942,980,147,43561,910,133,96992,8904,1232,904638
65-69,2021-01-09,182,28,10822,98,7,4956,182,21,11942,1085,105,43561,1022,112,96992,10073,1169,904638
65-69,2021-01-10,182,0,10822,98,0,4956,196,14,11942,1141,56,43561,1071,49,96992,10654,581,904638
65-69,2021-01-11,196,14,10822,105,7,4956,210,14,11942,1190,49,43561,1134,63,96992,11375,721,904638
65-69,2021-01-12,217,21,10822,112,7,4956,217,7,11942,1246,56,43561,1225,91,96992,12404,1029,904638
65-69,2021-01-13,245,28,10822,126,14,4956,245,28,11942,1330,84,43561,1358,133,96992,13678,1274,904638
65-69,2021-01-14,287,42,10822,140,14,4956,273,28,11942,1428,98,43561,1498,140,96992,15232,1554,904638
65-69,2021-01-15,308,21,10822,147,7,4956,287,14,11942,1554,126,43561,1652,154,96992,17059,1827,904638
65-69,2021-01-16,322,14,10822,161,14,4956,308,21,11942,1694,140,43561,1792,140,96992,18585,1526,904638
65-69,2021-01-17,343,21,10822,161,0,4956,322,14,11942,1743,49,43561,1862,70,96992,19586,1001,904638
65-69,2021-01-18,364,21,10822,168,7,4956,336,14,11942,1806,63,43561,1967,105,96992,20650,1064,904638
65-69,2021-01-19,392,28,10822,182,14,4956,364,28,11942,1939,133,43561,2107,140,96992,22155,1505,904638
65-69,2021-01-20,434,42,10822,203,21,4956,392,28,11942,2135,196,43561,2268,161,96992,23968,1813,904638
65-69,2021-01-21,469,35,10822,217,14,4956,420,28,11942,2429,294,43561,2436,168,96992,26117,2149,904638
65-69,2021-01-22,539,70,10822,245,28,4956,469,49,11942,2758,329,43561,2646,210,96992,29260,3143,904638
65-69,2021-01-23,588,49,10822,273,28,4956,504,35,11942,2968,210,43561,2863,217,96992,31976,2716,904638
65-69,2021-01-24,609,21,10822,280,7,4956,532,28,11942,3073,105,43561,2982,119,96992,33614,1638,904638
65-69,2021-01-25,630,21,10822,287,7,4956,553,21,11942,3206,133,43561,3122,140,96992,35147,1533,904638
65-69,2021-01-26,665,35,10822,301,14,4956,567,14,11942,3353,147,43561,3304,182,96992,37058,1911,904638
65-69,2021-01-27,707,42,10822,308,7,4956,623,56,11942,3570,217,43561,3493,189,96992,39263,2205,904638
65-69,2021-01-28,756,49,10822,329,21,4956,658,35,11942,3815,245,43561,3682,189,96992,42455,3192,904638
65-69,2021-01-29,826,70,10822,350,21,4956,707,49,11942,4095,280,43561,3934,252,96992,46347,3892,904638
65-69,2021-01-30,875,49,10822,378,28,4956,798,91,11942,4389,294,43561,4130,196,96992,49385,3038,904638
65-69,2021-01-31,910,35,10822,399,21,4956,847,49,11942,4697,308,43561,4438,308,96992,52465,3080,904638
65-69,2021-02-01,945,35,10822,427,28,4956,896,49,11942,5054,357,43561,4816,378,96992,57484,5019,904638
65-69,2021-02-02,1008,63,10822,462,35,4956,987,91,11942,5628,574,43561,5152,336,96992,62699,5215,904638
65-69,2021-02-03,1092,84,10822,504,42,4956,1078,91,11942,6307,679,43561,5600,448,96992,69545,6846,904638
65-69,2021-02-04,1253,161,10822,567,63,4956,1246,168,11942,7182,875,43561,6146,546,96992,78050,8505,904638
65-69,2021-02-05,1386,133,10822,658,91,4956,1463,217,11942,8169,987,43561,6762,616,96992,87353,9303,904638
65-69,2021-02-06,1554,168,10822,749,91,4956,1659,196,11942,9191,1022,43561,7854,1092,96992,101108,13755,904638
65-69,2021-02-07,1624,70,10822,791,42,4956,1799,140,11942,9786,595,43561,8540,686,96992,108927,7819,904638
65-69,2021-02-08,1736,112,10822,847,56,4956,1967,168,11942,10654,868,43561,9254,714,96992,118825,9898,904638
65-69,2021-02-09,1932,196,10822,952,105,4956,2268,301,11942,12075,1421,43561,11074,1820,96992,142296,23471,904638
65-69,2021-02-10,2191,259,10822,1120,168,4956,2632,364,11942,13783,1708,43561,14266,3192,96992,180985,38689,904638
65-69,2021-02-11,2611,420,10822,1337,217,4956,3185,553,11942,16247,2464,43561,18690,4424,96992,236915,55930,904638
65-69,2021-02-12,3031,420,10822,1575,238,4956,3703,518,11942,18466,2219,43561,24108,5418,96992,301644,64729,904638
65-69,2021-02-13,3423,392,10822,1820,245,4956,4256,553,11942,20706,2240,43561,30492,6384,96992,377447,75803,904638
65-69,2021-02-14,3633,210,10822,1946,126,4956,4550,294,11942,21889,1183,43561,33614,3122,96992,409710,32263,904638
65-69,2021-02-15,3822,189,10822,2065,119,4956,4844,294,11942,22869,980,43561,36932,3318,96992,445361,35651,904638
65-69,2021-02-16,4116,294,10822,2226,161,4956,5229,385,11942,24374,1505,43561,41405,4473,96992,492443,47082,904638
65-69,2021-02-17,4431,315,10822,2394,168,4956,5649,420,11942,25900,1526,43561,46536,5131,96992,544565,52122,904638
65-69,2021-02-18,4676,245,10822,2534,140,4956,5978,329,11942,27055,1155,43561,50673,4137,96992,585004,40439,904638
65-69,2021-02-19,4872,196,10822,2660,126,4956,6209,231,11942,27951,896,43561,54005,3332,96992,616245,31241,904638
65-69,2021-02-20,5019,147,10822,2758,98,4956,6447,238,11942,28812,861,43561,56630,2625,96992,643426,27181,904638
65-69,2021-02-21,5082,63,10822,2793,35,4956,6538,91,11942,29183,371,43561,57638,1008,96992,653779,10353,904638
65-69,2021-02-22,5180,98,10822,2863,70,4956,6671,133,11942,29624,441,43561,59304,1666,96992,668038,14259,904638
65-69,2021-02-23,5320,140,10822,2926,63,4956,6839,168,11942,30177,553,43561,61208,1904,96992,684208,16170,904638
65-69,2021-02-24,5467,147,10822,3010,84,4956,7042,203,11942,30786,609,43561,63483,2275,96992,706209,22001,904638
65-69,2021-02-25,5628,161,10822,3101,91,4956,7217,175,11942,31374,588,43561,65856,2373,96992,726383,20174,904638
65-69,2021-02-26,5789,161,10822,3185,84,4956,7413,196,11942,31941,567,43561,68075,2219,96992,746256,19873,904638
65-69,2021-02-27,5922,133,10822,3255,70,4956,7546,133,11942,32403,462,43561,69573,1498,96992,759913,13657,904638
65-69,2021-02-28,5978,56,10822,3283,28,4956,7616,70,11942,32592,189,43561,70420,847,96992,767144,7231,904638
65-69,2021-03-01,6013,35,10822,3304,21,4956,7644,28,11942,32697,105,43561,70966,546,96992,771666,4522,904638
65-69,2021-03-02,6062,49,10822,3318,14,4956,7714,70,11942,32830,133,43561,71540,574,96992,776440,4774,904638
65-69,2021-03-03,6125,63,10822,3346,28,4956,7777,63,11942,33054,224,43561,72233,693,96992,781942,5502,904638
65-69,2021-03-04,6209,84,10822,3388,42,4956,7861,84,11942,33362,308,43561,73136,903,96992,789901,7959,904638
65-69,2021-03-05,6286,77,10822,3423,35,4956,7966,105,11942,33621,259,43561,74151,1015,96992,798007,8106,904638
65-69,2021-03-06,6377,91,10822,3465,42,4956,8050,84,11942,33894,273,43561,75068,917,96992,805294,7287,904638
65-69,2021-03-07,6398,21,10822,3472,7,4956,8071,21,11942,33985,91,43561,75243,175,96992,807065,1771,904638
65-69,2021-03-08,6426,28,10822,3493,21,4956,8106,35,11942,34076,91,43561,75572,329,96992,809921,2856,904638
65-69,2021-03-09,6475,49,10822,3507,14,4956,8141,35,11942,34209,133,43561,75908,336,96992,812518,2597,904638
65-69,2021-03-10,6510,35,10822,3528,21,4956,8176,35,11942,34335,126,43561,76202,294,96992,814961,2443,904638
65-69,2021-03-11,6552,42,10822,3542,14,4956,8211,35,11942,34475,140,43561,76503,301,96992,817187,2226,904638
65-69,2021-03-12,6629,77,10822,3563,21,4956,8267,56,11942,34601,126,43561,76951,448,96992,820764,3577,904638
65-69,2021-03-13,6692,63,10822,3591,28,4956,8337,70,11942,34811,210,43561,77476,525,96992,825314,4550,904638
65-69,2021-03-14,6720,28,10822,3605,14,4956,8372,35,11942,34916,105,43561,77770,294,96992,827596,2282,904638
65-69,2021-03-15,6769,49,10822,3619,14,4956,8414,42,11942,35056,140,43561,78169,399,96992,830466,2870,904638
65-69,2021-03-16,6804,35,10822,3640,21,4956,8449,35,11942,35161,105,43561,78484,315,96992,832909,2443,904638
65-69,2021-03-17,6846,42,10822,3654,14,4956,8484,35,11942,35294,133,43561,78785,301,96992,834764,1855,904638
65-69,2021-03-18,6902,56,10822,3682,28,4956,8519,35,11942,35413,119,43561,79079,294,96992,836829,2065,904638
65-69,2021-03-19,6937,35,10822,3703,21,4956,8547,28,11942,35532,119,43561,79331,252,96992,838656,1827,904638
65-69,2021-03-20,6972,35,10822,3717,14,4956,8575,28,11942,35637,105,43561,79653,322,96992,841190,2534,904638
65-69,2021-03-21,6986,14,10822,3724,7,4956,8603,28,11942,35686,49,43561,79765,112,96992,841876,686,904638
65-69,2021-03-22,7007,21,10822,3724,0,4956,8617,14,11942,35735,49,43561,79898,133,96992,842737,861,904638
65-69,2021-03-23,7042,35,10822,3731,7,4956,8638,21,11942,35805,70,43561,80031,133,96992,843605,868,904638
65-69,2021-03-24,7077,35,10822,3738,7,4956,8666,28,11942,35896,91,43561,80164,133,96992,844487,882,904638
65-69,2021-03-25,7112,35,10822,3752,14,4956,8687,21,11942,36001,105,43561,80290,126,96992,845376,889,904638
65-69,2021-03-26,7147,35,10822,3759,7,4956,8715,28,11942,36092,91,43561,80451,161,96992,846230,854,904638
65-69,2021-03-27,7182,35,10822,3773,14,4956,8750,35,11942,36176,84,43561,80647,196,96992,847343,1113,904638
65-69,2021-03-28,7203,21,10822,3780,7,4956,8771,21,11942,36232,56,43561,80738,91,96992,847833,490,904638
65-69,2021-03-29,7238,35,10822,3780,0,4956,8778,7,11942,36288,56,43561,80829,91,96992,848365,532,904638
65-69,2021-03-30,7259,21,10822,3787,7,4956,8792,14,11942,36344,56,43561,80941,112,96992,848960,595,904638
65-69,2021-03-31,7273,14,10822,3794,7,4956,8813,21,11942,36414,70,43561,81032,91,96992,849569,609,904638
65-69,2021-04-01,7294,21,10822,3801,7,4956,8820,7,11942,36463,49,43561,81081,49,96992,849968,399,904638
65-69,2021-04-02,7301,7,10822,3808,7,4956,8820,0,11942,36477,14,43561,81130,49,96992,850136,168,904638
65-69,2021-04-03,7315,14,10822,3808,0,4956,8827,7,11942,36491,14,43561,81172,42,96992,850318,182,904638
65-69,2021-04-04,7315,0,10822,3808,0,4956,8827,0,11942,36512,21,43561,81179,7,96992,850402,84,904638
65-69,2021-04-05,7315,0,10822,3815,7,4956,8834,7,11942,36519,7,43561,81186,7,96992,850451,49,904638
65-69,2021-04-06,7322,7,10822,3815,0,4956,8841,7,11942,36547,28,43561,81214,28,96992,850619,168,904638
65-69,2021-04-07,7336,14,10822,3822,7,4956,8855,14,11942,36589,42,43561,81242,28,96992,850857,238,904638
65-69,2021-04-08,7350,14,10822,3829,7,4956,8862,7,11942,36617,28,43561,81284,42,96992,851116,259,904638
65-69,2021-04-09,7357,7,10822,3836,7,4956,8869,7,11942,36673,56,43561,81319,35,96992,851389,273,904638
65-69,2021-04-10,7371,14,10822,3836,0,4956,8876,7,11942,36722,49,43561,81347,28,96992,851683,294,904638
65-69,2021-04-11,7371,0,10822,3843,7,4956,8883,7,11942,36736,14,43561,81354,7,96992,851788,105,904638
65-69,2021-04-12,7378,7,10822,3843,0,4956,8883,0,11942,36750,14,43561,81375,21,96992,851935,147,904638
65-69,2021-04-13,7385,7,10822,3850,7,4956,8890,7,11942,36771,21,43561,81403,28,96992,852089,154,904638
65-69,2021-04-14,7392,7,10822,3850,0,4956,8897,7,11942,36792,21,43561,81424,21,96992,852250,161,904638
65-69,2021-04-15,7406,14,10822,3857,7,4956,8904,7,11942,36813,21,43561,81445,21,96992,852404,154,904638
65-69,2021-04-16,7413,7,10822,3857,0,4956,8911,7,11942,36827,14,43561,81466,21,96992,852593,189,904638
65-69,2021-04-17,7420,7,10822,3857,0,4956,8911,0,11942,36848,21,43561,81494,28,96992,852754,161,904638
65-69,2021-04-18,7427,7,10822,3864,7,4956,8911,0,11942,36862,14,43561,81494,0,96992,852831,77,904638
65-69,2021-04-19,7434,7,10822,3864,0,4956,8918,7,11942,36869,7,43561,81515,21,96992,852915,84,904638
65-69,2021-04-20,7434,0,10822,3864,0,4956,8918,0,11942,36890,21,43561,81529,14,96992,853048,133,904638
65-69,2021-04-21,7441,7,10822,3864,0,4956,8925,7,11942,36911,21,43561,81550,21,96992,853174,126,904638
65-69,2021-04-22,7448,7,10822,3864,0,4956,8932,7,11942,36925,14,43561,81571,21,96992,853321,147,904638
65-69,2021-04-23,7455,7,10822,3871,7,4956,8939,7,11942,36946,21,43561,81592,21,96992,853496,175,904638
65-69,2021-04-24,7455,0,10822,3871,0,4956,8946,7,11942,36974,28,43561,81613,21,96992,853650,154,904638
65-69,2021-04-25,7462,7,10822,3878,7,4956,8946,0,11942,36988,14,43561,81620,7,96992,853741,91,904638
65-69,2021-04-26,7462,0,10822,3878,0,4956,8953,7,11942,36995,7,43561,81641,21,96992,853839,98,904638
65-69,2021-04-27,7469,7,10822,3878,0,4956,8953,0,11942,37009,14,43561,81648,7,96992,853972,133,904638
65-69,2021-04-28,7476,7,10822,3885,7,4956,8960,7,11942,37030,21,43561,81669,21,96992,854168,196,904638
65-69,2021-04-29,7476,0,10822,3885,0,4956,8967,7,11942,37058,28,43561,81690,21,96992,854371,203,904638
65-69,2021-04-30,7476,0,10822,3885,0,4956,8974,7,11942,37079,21,43561,81704,14,96992,854553,182,904638
65-69,2021-05-01,7483,7,10822,3885,0,4956,8974,0,11942,37093,14,43561,81718,14,96992,854721,168,904638
65-69,2021-05-02,7490,7,10822,3885,0,4956,8974,0,11942,37100,7,43561,81725,7,96992,854805,84,904638
65-69,2021-05-03,7497,7,10822,3892,7,4956,8981,7,11942,37107,7,43561,81732,7,96992,854861,56,904638
65-69,2021-05-04,7497,0,10822,3892,0,4956,8981,0,11942,37121,14,43561,81739,7,96992,854973,112,904638
65-69,2021-05-05,7504,7,10822,3892,0,4956,8988,7,11942,37142,21,43561,81760,21,96992,855141,168,904638
65-69,2021-05-06,7511,7,10822,3899,7,4956,8995,7,11942,37170,28,43561,81788,28,96992,855372,231,904638
65-69,2021-05-07,7518,7,10822,3899,0,4956,9002,7,11942,37177,7,43561,81816,28,96992,855568,196,904638
65-69,2021-05-08,7518,0,10822,3899,0,4956,9009,7,11942,37198,21,43561,81844,28,96992,855736,168,904638
65-69,2021-05-09,7525,7,10822,3899,0,4956,9009,0,11942,37212,14,43561,81858,14,96992,855820,84,904638
65-69,2021-05-10,7525,0,10822,3906,7,4956,9009,0,11942,37226,14,43561,81872,14,96992,856002,182,904638
65-69,2021-05-11,7532,7,10822,3906,0,4956,9016,7,11942,37247,21,43561,81893,21,96992,856135,133,904638
65-69,2021-05-12,7532,0,10822,3906,0,4956,9023,7,11942,37268,21,43561,81921,28,96992,856324,189,904638
65-69,2021-05-13,7553,21,10822,3906,0,4956,9030,7,11942,37296,28,43561,81949,28,96992,856492,168,904638
65-69,2021-05-14,7553,0,10822,3913,7,4956,9037,7,11942,37324,28,43561,81984,35,96992,856646,154,904638
65-69,2021-05-15,7560,7,10822,3913,0,4956,9044,7,11942,37359,35,43561,82012,28,96992,856786,140,904638
65-69,2021-05-16,7560,0,10822,3920,7,4956,9051,7,11942,37373,14,43561,82019,7,96992,856856,70,904638
65-69,2021-05-17,7567,7,10822,3920,0,4956,9051,0,11942,37394,21,43561,82033,14,96992,856933,77,904638
65-69,2021-05-18,7574,7,10822,3920,0,4956,9058,7,11942,37422,28,43561,82061,28,96992,857045,112,904638
65-69,2021-05-19,7581,7,10822,3920,0,4956,9065,7,11942,37478,56,43561,82082,21,96992,857206,161,904638
65-69,2021-05-20,7595,14,10822,3927,7,4956,9079,14,11942,37527,49,43561,82103,21,96992,857332,126,904638
65-69,2021-05-21,7602,7,10822,3927,0,4956,9086,7,11942,37541,14,43561,82117,14,96992,857437,105,904638
65-69,2021-05-22,7602,0,10822,3927,0,4956,9093,7,11942,37569,28,43561,82145,28,96992,857556,119,904638
65-69,2021-05-23,7609,7,10822,3934,7,4956,9093,0,11942,37583,14,43561,82152,7,96992,857612,56,904638
65-69,2021-05-24,7616,7,10822,3934,0,4956,9100,7,11942,37604,21,43561,82166,14,96992,857668,56,904638
65-69,2021-05-25,7623,7,10822,3934,0,4956,9107,7,11942,37625,21,43561,82180,14,96992,857773,105,904638
65-69,2021-05-26,7630,7,10822,3934,0,4956,9114,7,11942,37646,21,43561,82201,21,96992,857885,112,904638
65-69,2021-05-27,7637,7,10822,3941,7,4956,9121,7,11942,37674,28,43561,82222,21,96992,857997,112,904638
65-69,2021-05-28,7651,14,10822,3941,0,4956,9128,7,11942,37695,21,43561,82243,21,96992,858102,105,904638
65-69,2021-05-29,7665,14,10822,3948,7,4956,9135,7,11942,37723,28,43561,82257,14,96992,858179,77,904638
65-69,2021-05-30,7665,0,10822,3948,0,4956,9142,7,11942,37744,21,43561,82271,14,96992,858221,42,904638
65-69,2021-05-31,7665,0,10822,3948,0,4956,9142,0,11942,37751,7,43561,82271,0,96992,858249,28,904638
65-69,2021-06-01,7672,7,10822,3948,0,4956,9149,7,11942,37765,14,43561,82278,7,96992,858298,49,904638
65-69,2021-06-02,7672,0,10822,3948,0,4956,9156,7,11942,37779,14,43561,82285,7,96992,858361,63,904638
65-69,2021-06-03,7679,7,10822,3955,7,4956,9156,0,11942,37800,21,43561,82306,21,96992,858431,70,904638
65-69,2021-06-04,7679,0,10822,3955,0,4956,9163,7,11942,37814,14,43561,82313,7,96992,858501,70,904638
65-69,2021-06-05,7693,14,10822,3955,0,4956,9163,0,11942,37835,21,43561,82327,14,96992,858578,77,904638
65-69,2021-06-06,7700,7,10822,3955,0,4956,9170,7,11942,37842,7,43561,82334,7,96992,858613,35,904638
65-69,2021-06-07,7700,0,10822,3955,0,4956,9177,7,11942,37856,14,43561,82348,14,96992,858662,49,904638
65-69,2021-06-08,7707,7,10822,3955,0,4956,9184,7,11942,37870,14,43561,82362,14,96992,858711,49,904638
65-69,2021-06-09,7721,14,10822,3955,0,4956,9191,7,11942,37884,14,43561,82376,14,96992,858774,63,904638
65-69,2021-06-10,7721,0,10822,3962,7,4956,9198,7,11942,37905,21,43561,82390,14,96992,858837,63,904638
65-69,2021-06-11,7728,7,10822,3962,0,4956,9198,0,11942,37926,21,43561,82404,14,96992,858914,77,904638
65-69,2021-06-12,7728,0,10822,3962,0,4956,9198,0,11942,37947,21,43561,82418,14,96992,858977,63,904638
65-69,2021-06-13,7728,0,10822,3962,0,4956,9198,0,11942,37954,7,43561,82432,14,96992,858998,21,904638
65-69,2021-06-14,7728,0,10822,3962,0,4956,9205,7,11942,37961,7,43561,82439,7,96992,859040,42,904638
65-69,2021-06-15,7735,7,10822,3962,0,4956,9205,0,11942,37975,14,43561,82446,7,96992,859089,49,904638
65-69,2021-06-16,7742,7,10822,3962,0,4956,9212,7,11942,37989,14,43561,82453,7,96992,859138,49,904638
65-69,2021-06-17,7749,7,10822,3962,0,4956,9219,7,11942,37996,7,43561,82467,14,96992,859222,84,904638
65-69,2021-06-18,7756,7,10822,3969,7,4956,9226,7,11942,38003,7,43561,82474,7,96992,859271,49,904638
65-69,2021-06-19,7763,7,10822,3969,0,4956,9226,0,11942,38024,21,43561,82488,14,96992,859327,56,904638
65-69,2021-06-20,7763,0,10822,3969,0,4956,9226,0,11942,38031,7,43561,82495,7,96992,859348,21,904638
65-69,2021-06-21,7763,0,10822,3969,0,4956,9226,0,11942,38038,7,43561,82502,7,96992,859369,21,904638
65-69,2021-06-22,7770,7,10822,3976,7,4956,9226,0,11942,38045,7,43561,82516,14,96992,859411,42,904638
65-69,2021-06-23,7777,7,10822,3976,0,4956,9233,7,11942,38059,14,43561,82523,7,96992,859460,49,904638
65-69,2021-06-24,7777,0,10822,3976,0,4956,9233,0,11942,38059,0,43561,82523,0,96992,859460,0,904638
70-79,2020-12-01,0,0,14686,0,0,6454,0,0,15379,0,0,54817,0,0,138565,0,0,1835617
70-79,2020-12-02,0,0,14686,0,0,6454,0,0,15379,0,0,54817,0,0,138565,0,0,1835617
70-79,2020-12-07,0,0,14686,0,0,6454,0,0,15379,0,0,54817,0,0,138565,0,0,1835617
70-79,2020-12-08,0,0,14686,0,0,6454,0,0,15379,0,0,54817,0,0,138565,28,28,1835617
70-79,2020-12-09,0,0,14686,0,0,6454,0,0,15379,0,0,54817,7,7,138565,84,56,1835617
70-79,2020-12-10,0,0,14686,0,0,6454,0,0,15379,7,7,54817,14,7,138565,147,63,1835617
70-79,2020-12-11,0,0,14686,0,0,6454,0,0,15379,7,0,54817,14,0,138565,203,56,1835617
70-79,2020-12-12,0,0,14686,0,0,6454,0,0,15379,14,7,54817,14,0,138565,252,49,1835617
70-79,2020-12-13,0,0,14686,0,0,6454,0,0,15379,14,0,54817,21,7,138565,287,35,1835617
70-79,2020-12-14,0,0,14686,0,0,6454,0,0,15379,21,7,54817,28,7,138565,350,63,1835617
70-79,2020-12-15,7,7,14686,0,0,6454,7,7,15379,28,7,54817,35,7,138565,532,182,1835617
70-79,2020-12-16,7,0,14686,0,0,6454,7,0,15379,42,14,54817,56,21,138565,756,224,1835617
70-79,2020-12-17,14,7,14686,0,0,6454,21,14,15379,91,49,54817,84,28,138565,1295,539,1835617
70-79,2020-12-18,21,7,14686,7,7,6454,21,0,15379,182,91,54817,112,28,138565,1729,434,1835617
70-79,2020-12-19,28,7,14686,14,7,6454,28,7,15379,245,63,54817,140,28,138565,2296,567,1835617
70-79,2020-12-20,35,7,14686,14,0,6454,28,0,15379,294,49,54817,182,42,138565,2758,462,1835617
70-79,2020-12-21,35,0,14686,14,0,6454,35,7,15379,357,63,54817,210,28,138565,3311,553,1835617
70-79,2020-12-22,49,14,14686,21,7,6454,42,7,15379,455,98,54817,238,28,138565,3780,469,1835617
70-79,2020-12-23,56,7,14686,28,7,6454,56,14,15379,553,98,54817,266,28,138565,4354,574,1835617
70-79,2020-12-24,56,0,14686,28,0,6454,56,0,15379,595,42,54817,273,7,138565,4627,273,1835617
70-79,2020-12-25,56,0,14686,28,0,6454,56,0,15379,595,0,54817,273,0,138565,4627,0,1835617
70-79,2020-12-26,56,0,14686,28,0,6454,56,0,15379,595,0,54817,273,0,138565,4627,0,1835617
70-79,2020-12-27,56,0,14686,28,0,6454,56,0,15379,595,0,54817,273,0,138565,4655,28,1835617
70-79,2020-12-28,56,0,14686,28,0,6454,56,0,15379,602,7,54817,280,7,138565,4739,84,1835617
70-79,2020-12-29,63,7,14686,28,0,6454,56,0,15379,651,49,54817,294,14,138565,5096,357,1835617
70-79,2020-12-30,70,7,14686,35,7,6454,63,7,15379,749,98,54817,371,77,138565,6972,1876,1835617
70-79,2020-12-31,77,7,14686,42,7,6454,77,14,15379,847,98,54817,462,91,138565,8925,1953,1835617
70-79,2021-01-01,77,0,14686,42,0,6454,84,7,15379,854,7,54817,483,21,138565,9457,532,1835617
70-79,2021-01-02,77,0,14686,42,0,6454,84,0,15379,875,21,54817,518,35,138565,10143,686,1835617
70-79,2021-01-03,84,7,14686,49,7,6454,84,0,15379,889,14,54817,518,0,138565,10283,140,1835617
70-79,2021-01-04,84,0,14686,49,0,6454,84,0,15379,896,7,54817,525,7,138565,10465,182,1835617
70-79,2021-01-05,84,0,14686,49,0,6454,91,7,15379,924,28,54817,553,28,138565,10864,399,1835617
70-79,2021-01-06,105,21,14686,56,7,6454,112,21,15379,994,70,54817,700,147,138565,13251,2387,1835617
70-79,2021-01-07,154,49,14686,91,35,6454,189,77,15379,1365,371,54817,1190,490,138565,21833,8582,1835617
70-79,2021-01-08,245,91,14686,126,35,6454,315,126,15379,1883,518,54817,1813,623,138565,33138,11305,1835617
70-79,2021-01-09,357,112,14686,168,42,6454,399,84,15379,2345,462,54817,2345,532,138565,42497,9359,1835617
70-79,2021-01-10,399,42,14686,175,7,6454,427,28,15379,2541,196,54817,2597,252,138565,46494,3997,1835617
70-79,2021-01-11,427,28,14686,189,14,6454,441,14,15379,2681,140,54817,2716,119,138565,49735,3241,1835617
70-79,2021-01-12,448,21,14686,210,21,6454,476,35,15379,2842,161,54817,3066,350,138565,56462,6727,1835617
70-79,2021-01-13,560,112,14686,259,49,6454,567,91,15379,3234,392,54817,3857,791,138565,71246,14784,1835617
70-79,2021-01-14,686,126,14686,329,70,6454,714,147,15379,3808,574,54817,4795,938,138565,88011,16765,1835617
70-79,2021-01-15,861,175,14686,392,63,6454,868,154,15379,4480,672,54817,6153,1358,138565,107856,19845,1835617
70-79,2021-01-16,994,133,14686,448,56,6454,973,105,15379,5061,581,54817,7168,1015,138565,124159,16303,1835617
70-79,2021-01-17,1043,49,14686,462,14,6454,1022,49,15379,5236,175,54817,7630,462,138565,131054,6895,1835617
70-79,2021-01-18,1120,77,14686,483,21,6454,1078,56,15379,5495,259,54817,8064,434,138565,138404,7350,1835617
70-79,2021-01-19,1309,189,14686,574,91,6454,1281,203,15379,6377,882,54817,10031,1967,138565,170093,31689,1835617
70-79,2021-01-20,1610,301,14686,714,140,6454,1603,322,15379,7812,1435,54817,12495,2464,138565,211673,41580,1835617
70-79,2021-01-21,1911,301,14686,861,147,6454,1883,280,15379,9170,1358,54817,15351,2856,138565,259595,47922,1835617
70-79,2021-01-22,2366,455,14686,1120,259,6454,2548,665,15379,11326,2156,54817,19908,4557,138565,335335,75740,1835617
70-79,2021-01-23,2793,427,14686,1358,238,6454,3171,623,15379,13636,2310,54817,25942,6034,138565,431326,95991,1835617
70-79,2021-01-24,3003,210,14686,1491,133,6454,3535,364,15379,14882,1246,54817,28021,2079,138565,464555,33229,1835617
70-79,2021-01-25,3206,203,14686,1610,119,6454,3780,245,15379,16072,1190,54817,29799,1778,138565,492681,28126,1835617
70-79,2021-01-26,3500,294,14686,1764,154,6454,4186,406,15379,17591,1519,54817,32242,2443,138565,532182,39501,1835617
70-79,2021-01-27,3864,364,14686,1946,182,6454,4634,448,15379,19411,1820,54817,34909,2667,138565,571886,39704,1835617
70-79,2021-01-28,4284,420,14686,2163,217,6454,5180,546,15379,21840,2429,54817,39032,4123,138565,641823,69937,1835617
70-79,2021-01-29,4767,483,14686,2450,287,6454,5824,644,15379,24143,2303,54817,45752,6720,138565,750988,109165,1835617
70-79,2021-01-30,5271,504,14686,2702,252,6454,6489,665,15379,26698,2555,54817,53193,7441,138565,869043,118055,1835617
70-79,2021-01-31,5551,280,14686,2891,189,6454,6874,385,15379,28182,1484,54817,57610,4417,138565,936649,67606,1835617
70-79,2021-02-01,5824,273,14686,3052,161,6454,7196,322,15379,29386,1204,54817,61131,3521,138565,992614,55965,1835617
70-79,2021-02-02,6167,343,14686,3220,168,6454,7623,427,15379,30968,1582,54817,65373,4242,138565,1057413,64799,1835617
